0,1,2,3,4,5,6,7,8,9
Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 19th time.,,,,,,,,,
340,"May 28, 202414:24[112]",F9 B5B1078‑10,"Cape Canaveral, SLC‑40",Starlink: Group 6-60 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
341,"May 28, 202422:20[113]",F9 B5B1081‑7,"Vandenberg, SLC‑4E",EarthCARE,"2,350 kg (5,180 lb)",SSO,ESA,Success,Success (LZ‑4)
"EarthCARE (Cloud, Aerosol and Radiation Explorer) satellite was the sixth mission in ESA's Earth Explorer program.[114] Tenth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. This marked the first time SpaceX has completed 13 Falcon launches in a calendar month.",,,,,,,,,
342,"June 1, 202402:37[115]",F9 B5B1076‑14,"Cape Canaveral, SLC‑40",Starlink: Group 6-64 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 23 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Fastest landing-to-landing turnaround of a drone ship, with A Shortfall of Gravitas having serviced the previous Starlink launch only 3 days, 12 hours prior.[116] First time SpaceX has completed 14 Falcon launches in a calendar month (the launch took place on the evening of May 31 local time).",,,,,,,,,
343,"June 5, 202402:16[117]",F9 B5B1067‑20,"Cape Canaveral, SLC‑40",Starlink: Group 8-5 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (JRTI)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
344,"June 8, 202401:56[118]",F9 B5B1069‑16,"Cape Canaveral, SLC‑40",Starlink: Group 10-1 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 22 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. 300th Falcon 9 booster landing.,,,,,,,,,
345,"June 8, 202412:58[119]",F9 B5B1061‑21,"Vandenberg, SLC‑4E",Starlink: Group 8-8 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Second booster to fly for the 21st time.",,,,,,,,,
346,"June 19, 202403:40[120]",F9 B5B1082‑5,"Vandenberg, SLC‑4E",Starlink: Group 9-1 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
347,"June 20, 202421:35[121]",F9 B5B1080‑9,"Cape Canaveral, SLC‑40",Astra 1P,"5,000 kg (11,000 lb)",GTO,SES,Success,Success (JRTI)
A SES satellite serving major broadcasters across Europe.,,,,,,,,,
348,"June 23, 202417:15[122]",F9 B5B1078‑11,"Cape Canaveral, SLC‑40",Starlink: Group 10-2 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 22 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. A launch attempt on June 14 was scrubbed when B1073 commanded an abort seconds after engine ignition. The payload and second stage were moved to B1078 for launch.[123] 1st time flying a fairing half for the 20th time.,,,,,,,,,
349,"June 24, 202403:47[124]",F9 B5B1075‑11,"Vandenberg, SLC‑4E",Starlink: Group 9-2 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (OCISLY)
